quote_date,0-35 days,36-50 days,50days-6months,6mons-1year,1YR-3yr,3YR-5YR,5YR-7YR,7YR-10YR,10YR-15YR,15YR-20YR,20YR and beyond,Row_Total
1925-12-31,0,0,0,0,0,0,0,0,1,2,5,8
1926-01-30,0,0,0,0,0,0,0,0,1,2,5,8
1926-02-27,0,0,0,0,0,0,0,0,1,2,5,8
1926-03-31,0,0,0,0,0,0,0,0,1,2,6,9
1926-04-30,0,0,0,0,0,0,0,0,1,2,6,9
1926-05-28,0,0,0,0,0,0,0,0,1,1,6,8
1926-06-30,0,0,0,0,0,0,0,0,1,2,4,7
1926-07-31,0,0,0,0,0,0,0,0,1,1,4,6
1926-08-31,0,0,0,0,0,0,0,0,1,2,4,7
1926-09-30,0,0,0,0,0,0,0,0,1,2,4,7
1926-10-30,0,0,0,0,0,0,0,0,1,2,5,8
1926-11-30,0,0,0,0,0,0,0,0,1,2,5,8
1926-12-31,0,0,0,0,0,0,0,0,1,2,4,7
1927-01-31,0,0,0,0,0,0,0,0,1,2,4,7
1927-02-28,0,0,0,0,0,0,0,0,1,2,4,7
1927-03-31,0,0,0,0,0,1,0,0,1,2,4,8
1927-04-30,0,0,0,0,0,1,0,0,1,2,4,8
1927-05-31,0,0,0,0,0,1,0,0,1,2,4,8
1927-06-30,0,0,0,0,0,1,0,0,1,3,3,8
1927-07-30,0,0,0,0,0,1,0,0,1,3,3,8
1927-08-31,0,0,0,0,0,1,0,0,1,3,3,8
1927-09-30,0,0,0,0,0,2,0,0,1,3,3,9
1927-10-31,0,0,0,0,0,2,0,0,1,4,3,10
1927-11-30,0,0,0,0,0,2,0,0,1,2,3,8
1927-12-31,0,0,0,0,0,2,0,0,1,2,3,8
1928-01-31,0,0,0,0,0,2,0,0,1,2,3,8
1928-02-29,0,0,0,0,0,3,0,0,1,3,3,10
1928-03-31,0,0,0,0,0,3,0,0,1,3,3,10
1928-04-30,0,0,0,0,0,3,0,0,1,3,3,10
1928-05-31,0,0,0,0,0,3,0,0,1,3,3,10
1928-06-30,0,0,0,0,0,3,0,0,1,3,3,10
1928-07-31,0,0,0,0,0,3,0,0,2,2,3,10
1928-08-31,0,0,0,0,0,3,0,0,2,2,3,10
1928-09-29,0,0,0,0,0,3,0,0,2,2,3,10
1928-10-31,0,0,0,0,0,3,0,1,1,2,3,10
1928-11-30,0,0,0,0,0,3,0,1,1,2,3,10
1928-12-31,0,0,0,0,0,3,0,1,1,2,3,10
1929-01-31,0,0,0,0,0,3,0,1,1,2,3,10
1929-02-28,0,0,0,0,0,3,0,1,1,2,3,10
1929-03-28,0,0,0,0,1,2,0,1,1,2,3,10
1929-04-30,0,0,0,0,1,2,0,1,1,2,3,10
1929-05-31,0,0,0,0,1,2,0,1,1,2,3,10
1929-06-29,0,0,0,0,1,2,0,1,1,2,3,10
1929-07-31,0,0,0,0,1,2,0,1,1,2,3,10
1929-08-30,0,0,0,0,1,2,0,1,1,2,3,10
1929-09-30,0,0,0,0,2,1,0,1,1,4,3,12
1929-10-31,0,0,0,0,2,1,0,1,1,4,3,12
1929-11-27,0,0,0,0,2,1,0,1,1,4,3,12
1929-12-31,0,0,0,0,3,0,0,1,1,4,3,12
1930-01-31,0,0,0,0,3,0,0,1,1,4,3,12
1930-02-28,0,0,0,0,3,0,0,1,1,4,3,12
1930-03-31,0,0,0,0,3,0,0,1,1,4,3,12
1930-04-30,0,0,0,0,3,0,0,1,1,4,3,12
1930-05-29,0,0,0,0,3,0,0,1,1,4,3,12
1930-06-30,0,0,0,0,3,0,0,1,1,4,3,12
1930-07-31,0,0,0,0,3,0,0,1,1,2,3,10
1930-08-29,0,0,0,0,3,0,0,1,1,4,3,12
1930-09-30,0,0,0,0,3,0,0,1,1,4,3,12
1930-10-31,0,0,0,0,3,0,0,1,1,3,3,11
1930-11-29,0,0,0,0,3,0,0,1,1,2,3,10
1930-12-31,0,0,0,0,3,0,0,1,1,2,3,10
1931-01-31,0,0,0,0,3,0,0,1,1,2,3,10
1931-02-28,0,0,0,0,3,0,0,1,1,2,3,10
1931-03-31,0,0,0,0,1,0,0,1,2,2,3,9
1931-04-30,0,0,0,0,1,0,0,1,2,2,3,9
1931-05-29,0,0,0,0,1,0,0,1,2,2,3,9
1931-06-30,0,0,0,0,1,0,0,1,2,3,3,10
1931-07-31,0,0,0,0,1,0,0,1,2,3,3,10
1931-08-31,0,0,0,0,1,0,0,1,2,3,3,10
1931-09-30,0,0,0,0,1,0,0,1,2,5,4,13
1931-10-31,0,0,0,0,1,0,1,0,2,5,4,13
1931-11-30,0,0,0,0,1,0,1,0,2,4,4,12
1931-12-31,0,0,0,0,0,0,1,0,2,5,4,12
1932-01-30,0,0,0,0,0,0,1,0,2,5,4,12
1932-02-29,0,0,0,0,0,0,1,0,2,5,4,12
1932-03-31,0,0,0,0,0,0,1,0,2,5,4,12
1932-04-30,0,0,0,0,0,0,1,0,2,4,4,11
1932-05-31,0,0,0,0,0,0,1,0,2,5,4,12
1932-06-30,0,0,0,0,0,0,1,0,5,1,4,11
1932-07-30,0,0,0,0,0,0,1,0,5,1,4,11
1932-08-31,0,0,0,0,0,0,1,0,5,1,4,11
1932-09-30,0,0,0,0,0,0,1,0,5,1,4,11
1932-10-31,0,0,0,0,0,0,1,0,4,2,3,10
1932-11-30,0,0,0,0,0,0,1,0,5,2,3,11
1932-12-31,0,0,0,0,0,0,1,0,4,2,3,10
1933-01-31,0,0,0,0,0,0,1,0,6,2,3,12
1933-02-28,0,0,0,0,0,0,1,0,6,2,3,12
1933-03-31,0,0,0,0,0,0,1,1,5,2,3,12
1933-04-29,0,0,0,0,0,0,1,1,4,2,3,11
1933-05-31,0,0,0,0,0,0,1,1,3,2,3,10
1933-06-30,0,0,0,0,0,0,1,2,2,2,3,10
1933-07-31,0,0,0,0,0,0,1,2,2,2,3,10
1933-08-31,0,0,0,0,0,0,1,2,2,2,3,10
1933-09-30,0,0,0,0,0,0,1,2,4,2,3,12
1933-10-31,0,0,0,0,0,1,0,2,3,2,3,11
1933-11-29,0,0,0,0,0,1,0,2,2,2,3,10
1933-12-30,0,0,0,0,0,1,0,2,2,2,3,10
1934-01-31,0,0,0,0,0,1,0,2,2,2,3,10
1934-02-28,0,0,0,0,0,1,0,2,2,2,3,10
1934-03-31,0,0,0,0,0,1,0,2,2,2,3,10
1934-04-30,0,0,0,0,0,1,0,2,3,2,3,11
1934-05-31,0,0,0,0,0,1,0,2,3,2,3,11
1934-06-30,0,0,0,0,0,1,0,2,5,1,3,12
1934-07-31,0,0,0,0,0,1,0,2,5,1,3,12
1934-08-31,0,0,0,0,0,1,0,2,5,1,3,12
1934-09-29,0,0,0,0,0,1,0,2,5,1,3,12
1934-10-31,0,0,0,0,0,1,0,2,5,1,3,12
1934-11-30,0,0,0,0,0,1,0,2,5,1,3,12
1934-12-31,0,0,0,0,0,1,0,2,5,3,2,13
1935-01-31,0,0,0,0,0,1,0,2,5,3,2,13
1935-02-28,0,0,0,0,0,1,0,2,5,3,2,13
1935-03-30,0,0,0,0,0,1,0,2,5,3,3,14
1935-04-30,0,0,0,0,0,1,0,2,5,3,3,14
1935-05-31,0,0,0,0,0,1,0,2,5,3,3,14
1935-06-29,0,0,0,0,0,1,0,2,4,3,3,13
1935-07-31,0,0,0,0,0,1,0,2,4,3,3,13
1935-08-31,0,0,0,0,0,1,0,2,4,3,3,13
1935-09-30,0,0,0,0,0,1,0,2,5,4,2,14
1935-10-30,0,0,0,0,0,0,0,2,5,4,2,13
1935-11-30,0,0,0,0,0,0,0,2,5,4,2,13
1935-12-31,0,0,0,0,0,0,0,2,5,4,2,13
1936-01-31,0,0,0,0,0,0,0,2,5,4,2,13
1936-02-29,0,0,0,0,0,0,0,2,5,4,2,13
1936-03-31,0,0,0,0,0,0,1,1,6,5,1,14
1936-04-30,0,0,0,0,0,0,1,2,5,5,1,14
1936-05-29,0,0,0,0,0,0,1,2,5,5,1,14
1936-06-30,0,0,0,0,0,0,2,1,5,6,1,15
